ID,PIT_Tag,scale_factor,Sex,Maturity,Site,Control-Treatment?,Recap?,Notes,horizontal_eye_diameter,head_depth_through_eye,postorbital_length,head_length,maximum_body_depth,minimum_caudal_peduncle_depth,predorsal_length,postdorsal_length,pect-pelvic_distance,pelvic-anal_distance,pectoral-anal_distance,preanal_length,fork_length,fork_measured,dorsal_fin_base_length,anterior_dorsal_height,posterior_dorsal_height,anal_fin_base_length,anal_fin_height,pectoral_fin_length,pelvic_fin_length,adipose_fin_base,adipose_height,dorsal_end_length,dorsal_to_adipose,dorsal_reach_adipose,papillae,problems
1,3DD.003D422465,0.11094,M,MA,Colorado,Control,ADFG,,13.43,30.43,35.94,56.69,85.71,29.19,105.32,146.44,120.6,100.18,220.78,276.58,389.52,365,110.68,36.19,115.24,40.32,29.52,76.35,86.63,9.3,5.13,116.81,87.15,yes,,no
2,3DD.003E270DBE,0.084007,M,MA,Colorado,Control,N,,10.67,23.7,26.21,42.51,67.72,24.29,81.42,109.04,92.01,72.25,164.26,205.4,299.2,289,87.13,35.28,80.83,35.39,32.36,54.46,59.06,7.11,5.88,71.45,64.29,yes,,no
3,3DD.003E270D83,0.100825,M,MA,Colorado,Control,Y,Upper caudal fin has some damage. Adipose is clipped.,12.7,26.72,33.48,55.05,73.75,25.86,106.43,134.42,110.5,97.24,207.74,259.5,361.88,343,96.23,36.69,88.92,34.66,34.19,60.5,78.15,8.8,NA,88,80.89,yes,,no
4,3DD.003E270D32,0.078065,F,MA,Colorado,Control,Y,"Adipose is clipped, some caudal fin degredation",10.8,20.77,24.2,37.32,57.81,21.42,81.73,112.81,88.54,70.28,158.82,195.89,284.79,273,69.33,29.02,52.12,29.4,27.93,44.75,42.98,6.43,NA,47.24,72.82,no,,adipose bad
5,3DD.003E270D4B,0.071824,F,IM?,Colorado,Control,Y,"Cadual fin slightly degraded/shorted at the end, possibly due to E-fisher. Adipose is clipped. ",10.06,19.47,22.05,35.98,55.55,20.18,73.98,98.94,83.9,61.27,145.17,180.93,263.57,255,68.96,26.43,47.04,24.92,24.32,43.72,47.26,8.3,NA,48.25,61.6,no,,no
6,3DD.003E270D9D,0.089158,F,MA,Colorado,Treatment,N?,Adipose is deformed ,10.79,24.79,30.49,46.1,67.23,23.64,89.07,120.81,94.89,83.23,178.12,225.42,318.98,311,88.16,32.47,64.69,34.09,38.96,59.36,57.9,7.34,NA,80.05,70.87,yes,,no
7,3DD.003E270D96,0.074552,F,MA,Colorado,Treatment,N,,10.74,22.21,19.21,38.72,56.48,19.43,72.43,109.72,80.26,69.34,149.6,185.38,263.72,257,65.5,22.22,47.54,27.92,24.03,41.01,39.55,5.14,NA,47.12,69.91,no,,no
8,3DD.003E270DEF,0.096114,M,MA,Colorado,Treatment,N,"Adipose is clipped, NOT A RECAP",11.93,27.98,30.32,52.95,79.96,27.78,98.35,139.29,107.94,94.69,202.63,255.92,362.42,354,103.83,34.01,107.65,39.83,30.24,62.24,78.61,7.84,NA,101.46,80.68,yes,,no
9,3DD.003E270DD5,0.078008,F,,,,,,10.33,24.46,22.27,38.7,65.77,22.8,70.35,102.85,79.66,68.66,148.32,186.68,270.92,260,76.39,28.52,48.68,29,24.82,47,45.44,6.77,NA,49.5,65.9,no,,no
10,3DD.003E270DC1,0.057411,F,MA,Colorado,Treatment,N,,8.56,16.49,16.61,29.66,46.22,15.87,60.76,84.12,62.58,53.8,116.38,146.08,211.44,207,51.36,20.8,24.66,21.85,20.49,33.95,32.07,3.84,2.57,23.89,54.28,no,,no
